DATAROLE, VARIABLE, LEVEL, CODE, COUNT, TYPE, PERCENT, LevelIndex, ROLE, LABEL, plot, 
TRAIN, CODE_GENDER, F, 1, 202448, C, 65.834392916, 1, INPUT, CODE_GENDER, 1, 
TRAIN, CODE_GENDER, M, 0, 105059, C, 34.164306317, 2, INPUT, CODE_GENDER, 1, 
TRAIN, CODE_GENDER, X, 2, 4, C, 0.0013007665, 3, INPUT, CODE_GENDER, 1, 
TRAIN, EMERGENCYSTATE_MODE, No, 0, 159428, C, 51.84464946, 2, INPUT, EMERGENCYSTATE_MODE, 1, 
TRAIN, EMERGENCYSTATE_MODE, , 1, 145755, C, 47.398304451, 1, INPUT, EMERGENCYSTATE_MODE, 1, 
TRAIN, EMERGENCYSTATE_MODE, Yes, 2, 2328, C, 0.7570460894, 3, INPUT, EMERGENCYSTATE_MODE, 1, 
TRAIN, FLAG_OWN_CAR, N, 0, 202924, C, 65.989184127, 1, INPUT, FLAG_OWN_CAR, 1, 
TRAIN, FLAG_OWN_CAR, Y, 1, 104587, C, 34.010815873, 2, INPUT, FLAG_OWN_CAR, 1, 
TRAIN, FLAG_OWN_REALTY, Y, 0, 213312, C, 69.367274667, 2, INPUT, FLAG_OWN_REALTY, 1, 
TRAIN, FLAG_OWN_REALTY, N, 1, 94199, C, 30.632725333, 1, INPUT, FLAG_OWN_REALTY, 1, 
TRAIN, FONDKAPREMONT_MODE, , 1, 210295, C, 68.386171552, 1, INPUT, FONDKAPREMONT_MODE, 1, 
TRAIN, FONDKAPREMONT_MODE, reg oper account, 0, 73830, C, 24.008897243, 4, INPUT, FONDKAPREMONT_MODE, 1, 
TRAIN, FONDKAPREMONT_MODE, reg oper spec account, 3, 12080, C, 3.9283147595, 5, INPUT, FONDKAPREMONT_MODE, 1, 
TRAIN, FONDKAPREMONT_MODE, not specified, 4, 5687, C, 1.8493647382, 2, INPUT, FONDKAPREMONT_MODE, 1, 
TRAIN, FONDKAPREMONT_MODE, org spec account, 2, 5619, C, 1.8272517081, 3, INPUT, FONDKAPREMONT_MODE, 1, 
TRAIN, HOUSETYPE_MODE, , 1, 154297, C, 50.176091262, 1, INPUT, HOUSETYPE_MODE, 1, 
TRAIN, HOUSETYPE_MODE, block of flats, 0, 150503, C, 48.942314259, 2, INPUT, HOUSETYPE_MODE, 1, 
TRAIN, HOUSETYPE_MODE, specific housing, 3, 1499, C, 0.4874622371, 3, INPUT, HOUSETYPE_MODE, 1, 
TRAIN, HOUSETYPE_MODE, terraced house, 2, 1212, C, 0.3941322424, 4, INPUT, HOUSETYPE_MODE, 1, 
TRAIN, NAME_CONTRACT_TYPE, Cash loans, 0, 278232, C, 90.478714583, 1, INPUT, NAME_CONTRACT_TYPE, 1, 
TRAIN, NAME_CONTRACT_TYPE, Revolving loans, 1, 29279, C, 9.5212854174, 2, INPUT, NAME_CONTRACT_TYPE, 1, 
TRAIN, NAME_EDUCATION_TYPE, Secondary / secondary special, 0, 218391, C, 71.0189229, 5, INPUT, NAME_EDUCATION_TYPE, 1, 
TRAIN, NAME_EDUCATION_TYPE, Higher education, 1, 74863, C, 24.344820185, 2, INPUT, NAME_EDUCATION_TYPE, 1, 
TRAIN, NAME_EDUCATION_TYPE, Incomplete higher, 2, 10277, C, 3.3419942701, 3, INPUT, NAME_EDUCATION_TYPE, 1, 
TRAIN, NAME_EDUCATION_TYPE, Lower secondary, 3, 3816, C, 1.2409312187, 4, INPUT, NAME_EDUCATION_TYPE, 1, 
TRAIN, NAME_EDUCATION_TYPE, Academic degree, 4, 164, C, 0.0533314255, 1, INPUT, NAME_EDUCATION_TYPE, 1, 
TRAIN, NAME_FAMILY_STATUS, Married, 1, 196432, C, 63.878040135, 2, INPUT, NAME_FAMILY_STATUS, 1, 
TRAIN, NAME_FAMILY_STATUS, Single / not married, 0, 45444, C, 14.778007941, 4, INPUT, NAME_FAMILY_STATUS, 1, 
TRAIN, NAME_FAMILY_STATUS, Civil marriage, 2, 29775, C, 9.6825804605, 1, INPUT, NAME_FAMILY_STATUS, 1, 
TRAIN, NAME_FAMILY_STATUS, Separated, 4, 19770, C, 6.4290383108, 3, INPUT, NAME_FAMILY_STATUS, 1, 
TRAIN, NAME_FAMILY_STATUS, Widow, 3, 16088, C, 5.2316827691, 6, INPUT, NAME_FAMILY_STATUS, 1, 
TRAIN, NAME_FAMILY_STATUS, Unknown, 5, 2, C, 0.0006503832, 5, INPUT, NAME_FAMILY_STATUS, 1, 
TRAIN, NAME_HOUSING_TYPE, House / apartment, 0, 272868, C, 88.734386737, 2, INPUT, NAME_HOUSING_TYPE, 1, 
TRAIN, NAME_HOUSING_TYPE, With parents, 2, 14840, C, 4.8258436284, 6, INPUT, NAME_HOUSING_TYPE, 1, 
TRAIN, NAME_HOUSING_TYPE, Municipal apartment, 3, 11183, C, 3.6366178771, 3, INPUT, NAME_HOUSING_TYPE, 1, 
TRAIN, NAME_HOUSING_TYPE, Rented apartment, 1, 4881, C, 1.5872602931, 5, INPUT, NAME_HOUSING_TYPE, 1, 
TRAIN, NAME_HOUSING_TYPE, Office apartment, 4, 2617, C, 0.8510264673, 4, INPUT, NAME_HOUSING_TYPE, 1, 
TRAIN, NAME_HOUSING_TYPE, Co-op apartment, 5, 1122, C, 0.3648649967, 1, INPUT, NAME_HOUSING_TYPE, 1, 
TRAIN, NAME_INCOME_TYPE, Working, 0, 158774, C, 51.631974141, 8, INPUT, NAME_INCOME_TYPE, 1, 
TRAIN, NAME_INCOME_TYPE, Commercial associate, 2, 71617, C, 23.289248189, 2, INPUT, NAME_INCOME_TYPE, 1, 
TRAIN, NAME_INCOME_TYPE, Pensioner, 3, 55362, C, 18.00325842, 4, INPUT, NAME_INCOME_TYPE, 1, 
TRAIN, NAME_INCOME_TYPE, State servant, 1, 21703, C, 7.0576337107, 5, INPUT, NAME_INCOME_TYPE, 1, 
TRAIN, NAME_INCOME_TYPE, Unemployed, 4, 22, C, 0.0071542156, 7, INPUT, NAME_INCOME_TYPE, 1, 
TRAIN, NAME_INCOME_TYPE, Student, 5, 18, C, 0.0058534491, 6, INPUT, NAME_INCOME_TYPE, 1, 
TRAIN, NAME_INCOME_TYPE, Businessman, 6, 10, C, 0.0032519162, 1, INPUT, NAME_INCOME_TYPE, 1, 
TRAIN, NAME_INCOME_TYPE, Maternity leave, 7, 5, C, 0.0016259581, 3, INPUT, NAME_INCOME_TYPE, 1, 
TRAIN, NAME_TYPE_SUITE, Unaccompanied, 0, 248526, C, 80.818572344, 8, INPUT, NAME_TYPE_SUITE, 1, 
TRAIN, NAME_TYPE_SUITE, Family, 1, 40149, C, 13.056118318, 3, INPUT, NAME_TYPE_SUITE, 1, 
TRAIN, NAME_TYPE_SUITE, "Spouse,  partner", 2, 11370, C, 3.6974287099, 7, INPUT, NAME_TYPE_SUITE, 1, 
TRAIN, NAME_TYPE_SUITE, Children, 3, 3267, C, 1.0624010198, 2, INPUT, NAME_TYPE_SUITE, 1, 
TRAIN, NAME_TYPE_SUITE, Other_B, 6, 1770, C, 0.5755891659, 6, INPUT, NAME_TYPE_SUITE, 1, 
TRAIN, NAME_TYPE_SUITE, , 5, 1292, C, 0.420147572, 1, INPUT, NAME_TYPE_SUITE, 1, 
TRAIN, NAME_TYPE_SUITE, Other_A, 4, 866, C, 0.2816159422, 5, INPUT, NAME_TYPE_SUITE, 1, 
TRAIN, NAME_TYPE_SUITE, Group of people, 7, 271, C, 0.0881269288, 4, INPUT, NAME_TYPE_SUITE, 1, 
TRAIN, OCCUPATION_TYPE, , 4, 96391, C, 31.345545363, 1, INPUT, OCCUPATION_TYPE, 1, 
TRAIN, OCCUPATION_TYPE, Laborers, 0, 55186, C, 17.946024695, 10, INPUT, OCCUPATION_TYPE, 1, 
TRAIN, OCCUPATION_TYPE, Sales staff, 6, 32102, C, 10.439301358, 16, INPUT, OCCUPATION_TYPE, 1, 
TRAIN, OCCUPATION_TYPE, Core staff, 1, 27570, C, 8.9655329403, 5, INPUT, OCCUPATION_TYPE, 1, 
TRAIN, OCCUPATION_TYPE, Managers, 3, 21371, C, 6.9496700931, 12, INPUT, OCCUPATION_TYPE, 1, 
TRAIN, OCCUPATION_TYPE, Drivers, 5, 18603, C, 6.0495396913, 6, INPUT, OCCUPATION_TYPE, 1, 
TRAIN, OCCUPATION_TYPE, High skill tech staff, 12, 11380, C, 3.7006806261, 8, INPUT, OCCUPATION_TYPE, 1, 
TRAIN, OCCUPATION_TYPE, Accountants, 2, 9813, C, 3.1911053588, 2, INPUT, OCCUPATION_TYPE, 1, 
TRAIN, OCCUPATION_TYPE, Medicine staff, 10, 8537, C, 2.7761608528, 13, INPUT, OCCUPATION_TYPE, 1, 
TRAIN, OCCUPATION_TYPE, Security staff, 11, 6721, C, 2.1856128724, 18, INPUT, OCCUPATION_TYPE, 1, 
TRAIN, OCCUPATION_TYPE, Cooking staff, 8, 5946, C, 1.9335893675, 4, INPUT, OCCUPATION_TYPE, 1, 
TRAIN, OCCUPATION_TYPE, Cleaning staff, 7, 4653, C, 1.513116604, 3, INPUT, OCCUPATION_TYPE, 1, 
TRAIN, OCCUPATION_TYPE, Private service staff, 9, 2652, C, 0.862408174, 14, INPUT, OCCUPATION_TYPE, 1, 
TRAIN, OCCUPATION_TYPE, Low-skill Laborers, 14, 2093, C, 0.6806260589, 11, INPUT, OCCUPATION_TYPE, 1, 
TRAIN, OCCUPATION_TYPE, Waiters/barmen staff, 13, 1348, C, 0.4383583026, 19, INPUT, OCCUPATION_TYPE, 1, 
